ID ,County,Population,Area (km2),Number of districts,Date Created,Area
1,Bomi,82036,1942,4,1984,520927.511
2,Bong,328919,8772,12,1964,2071889.843
3,Gbarpolu,83758,9689,6,2001,2284504.152
4,Grand Bassa,224839,7936,8,1839,1222023.617
5,Grand Cape Mount,129055,5162,5,1844,1848475.45
6,Grand Gedeh,126146,10484,3,1964,2533589.069
7,Grand Kru,57106,3895,18,1984,911764.725
8,Lofa,270114,9982,6,1964,2533942.374
9,Margibi,199689,2616,4,1985,694188.495
10,Maryland,136404,2297,2,1857,541724.94
11,Montserrado,1144806,1909,4,1839,447117.393
12,Nimba,468088,11551,6,1964,2939943.138
13,Rivercess,65862,5594,7,1985,1305920.567
14,River Gee,67318,5113,6,2000,1531050.269
15,Sinoe,104932,10137,17,1843,2314813.663
